Name,Team,Pos,g,R,HR,RBI,SB,OBP,PA,H,BB
Anthony Rizzo,CHC,1B,7.,4.613,1.523,3.608,0.943,0.396021367,32.575,8.02,4.066
Kris Bryant,CHC,3B,7.,4.407,1.149,4.393,0.577,0.381301299,31.797,7.258,4.39
Todd Frazier,CIN,1B/3B,7.,3.892,1.479,3.974,0.741,0.336481899,29.752,7.581,1.953
Paul Goldschmidt,ARI,1B,6.,3.563,1.278,3.757,0.898,0.4184125,25.535,6.681,3.926
Dexter Fowler,CHC,OF,7.,4.575,0.655,2.46,1.246,0.351431569,33.352,7.316,4.173
Mike Trout,LAA,OF,6.,3.234,1.448,3.856,0.653,0.397149224,26.027,6.78,3.114
Joey Votto,CIN,1B,7.,3.835,0.947,2.805,0.362,0.402024371,30.529,6.91,5.149
Andrew McCutchen,PIT,OF,6.,3.508,0.97,3.746,0.403,0.404329843,26.837,6.913,3.482
Jorge Soler,CHC,OF,7.,3.665,0.847,4.432,0.093,0.328712807,31.019,7.704,2.275
Joc Pederson,LAD,OF,6.,4.092,1.146,2.658,0.313,0.370877837,27.809,5.451,4.585
Lorenzo Cain,KC,OF,7.,3.088,0.581,3.552,1.562,0.339885753,29.76,7.993,1.796
Buster Posey,SF,C/1B,6.,3.438,1.064,4.083,0.053,0.367207743,26.244,7.09,2.363
Bryce Harper,WAS,OF,6.,3.167,1.249,3.539,0.226,0.393100136,24.988,6.434,3.239
Justin Turner,LAD,1B/2B/SS/3B,6.,3.815,0.482,3.888,0.249,0.3704281,27.587,7.855,1.868
Adrian Gonzalez,LAD,1B,6.,3.489,0.981,4.143,0.034,0.348885587,26.921,7.018,2.266
Prince Fielder,TEX,1B,6.,3.21,1.037,3.672,0,0.376673323,27.04,7.232,2.494
Jay Bruce,CIN,OF,7.,3.339,1.082,3.755,0.501,0.309471214,28.975,5.92,2.961
Starling Marte,PIT,OF,6.,2.965,0.766,3.65,1.171,0.348248061,26.171,6.697,1.605
Nelson Cruz,SEA,OF,6.,2.955,1.479,3.465,0.169,0.346396818,25.643,6.58,2.124
Delino DeShields,TEX,2B/OF,6.,3.426,0.202,2.243,2.136,0.348417565,28.373,6.382,3.078
Troy Tulowitzki,COL,SS,6.,3.426,0.988,3.422,0.024,0.363856268,25.628,6.483,2.612
Matt Duffy,SF,2B/SS/3B,6.,3.879,0.799,3.701,0.199,0.315758184,26.911,6.982,1.193
AJ Pollock,ARI,OF,6.,3.635,0.656,2.187,1.446,0.338506196,26.869,7.029,1.959
Mike Moustakas,KC,3B,7.,3.374,0.865,2.818,0.153,0.322353558,30.537,7.519,1.958
Justin Bour,MIA,1B,6.,2.902,1.172,3.456,0.049,0.357877531,25.084,6.194,2.582
Howie Kendrick,LAD,2B,6.,3.877,0.399,2.72,0.296,0.352212389,28.253,7.785,1.94
Yasiel Puig,LAD,OF,6.,3.224,0.704,2.937,0.242,0.370364821,26.698,6.797,2.557
Mookie Betts,BOS,2B/OF,6.,3.4,0.738,2.45,0.907,0.329719161,28.131,6.94,2.194
Joe Panik,SF,2B,6.,3.81,0.44,2.709,0.188,0.360794836,27.578,7.681,2.131
Marlon Byrd,CIN,OF,7.,3.017,1.188,3.281,0.131,0.314253289,28.197,6.935,1.587
Charlie Blackmon,COL,OF,6.,3.597,0.629,2.005,1.557,0.326249815,26.961,6.566,1.718
David Ortiz,BOS,1B,6.,2.966,1.301,3.27,0,0.332453119,26.129,5.454,3.155
Albert Pujols,LAA,1B,6.,2.932,1.278,3.378,0.114,0.333162461,25.36,6.345,1.875
Adrian Beltre,TEX,3B,6.,2.846,0.813,3.44,0.045,0.361657756,26.372,7.49,1.836
Brandon Phillips,CIN,2B,7.,3.894,0.533,2.091,0.739,0.304056212,31.306,7.747,1.429
